yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Driving Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,6,1,11,Restricted Area,Center,C,Less Than 8 ft.,-11,0,20,1,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,8,1,10,Left Corner 3,Left Side,L,24+ ft.,-241,28,45,24,TRUE,FALSE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,12,1,10,Mid-Range,Center,C,16-24 ft.,40,175,24,17,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,15,1,9,Restricted Area,Center,C,Less Than 8 ft.,-14,8,56,1,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Step Back Jump shot,3PT Field Goal,20151225,LAL,LAC,21500440,17,1,9,Above the Break 3,Center,C,24+ ft.,-71,247,35,25,TRUE,FALSE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,18,1,9,In The Paint (Non-RA),Center,C,8-16 ft.,5,116,31,11,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,21,1,8,Mid-Range,Right Side,R,8-16 ft.,151,26,48,15,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,23,1,8,Mid-Range,Right Side,R,16-24 ft.,168,120,21,20,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Floating Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,25,1,7,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-16,46,48,4,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,32,1,7,Above the Break 3,Left Side Center,LC,24+ ft.,-232,105,24,25,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,35,1,6,Above the Break 3,Left Side Center,LC,24+ ft.,-86,237,51,25,TRUE,FALSE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,47,1,5,Above the Break 3,Left Side Center,LC,24+ ft.,-183,170,40,24,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,63,1,4,Mid-Range,Left Side,L,16-24 ft.,-145,95,44,17,TRUE,TRUE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,20151225,LAL,LAC,21500440,73,1,3,Restricted Area,Center,C,Less Than 8 ft.,0,1,32,0,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,75,1,2,Mid-Range,Right Side,R,8-16 ft.,91,100,58,13,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Driving Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,77,1,2,Restricted Area,Center,C,Less Than 8 ft.,0,-5,37,0,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Hook Shot,2PT Field Goal,20151225,LAL,LAC,21500440,86,1,2,Restricted Area,Center,C,Less Than 8 ft.,-20,31,4,3,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,89,1,1,Mid-Range,Left Side Center,LC,16-24 ft.,-86,159,56,18,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,100,1,1,In The Paint (Non-RA),Center,C,8-16 ft.,-53,100,27,11,TRUE,TRUE
2016,2015-16,1610612746,203143,Shot Chart Detail,Pablo Prigioni,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,104,1,0,Above the Break 3,Center,C,24+ ft.,17,257,50,25,TRUE,TRUE
2016,2015-16,1610612746,202332,Shot Chart Detail,Cole Aldrich,LA Clippers,Missed Shot,Hook Shot,2PT Field Goal,20151225,LAL,LAC,21500440,106,1,0,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2,46,32,4,TRUE,FALSE
2016,2015-16,1610612746,1718,Shot Chart Detail,Paul Pierce,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,115,1,0,Above the Break 3,Left Side Center,LC,24+ ft.,-124,213,2,24,TRUE,FALSE
2016,2015-16,1610612746,202362,Shot Chart Detail,Lance Stephenson,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,120,2,11,Mid-Range,Right Side Center,RC,16-24 ft.,101,144,49,17,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Made Shot,Step Back Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,124,2,11,Mid-Range,Right Side,R,8-16 ft.,151,31,19,15,TRUE,TRUE
2016,2015-16,1610612746,1718,Shot Chart Detail,Paul Pierce,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,126,2,10,Mid-Range,Left Side,L,8-16 ft.,-135,-5,42,13,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,135,2,10,Mid-Range,Center,C,16-24 ft.,-35,183,7,18,TRUE,FALSE
2016,2015-16,1610612746,1718,Shot Chart Detail,Paul Pierce,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,137,2,10,Above the Break 3,Right Side Center,RC,24+ ft.,153,190,0,24,TRUE,FALSE
2016,2015-16,1610612746,202362,Shot Chart Detail,Lance Stephenson,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,140,2,9,Above the Break 3,Center,C,24+ ft.,76,237,36,24,TRUE,FALSE
2016,2015-16,1610612746,202332,Shot Chart Detail,Cole Aldrich,LA Clippers,Missed Shot,Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,151,2,8,Restricted Area,Center,C,Less Than 8 ft.,-27,2,43,2,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Made Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,160,2,7,In The Paint (Non-RA),Left Side,L,8-16 ft.,-70,116,55,13,TRUE,TRUE
2016,2015-16,1610612746,202325,Shot Chart Detail,Wesley Johnson,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,169,2,7,Right Corner 3,Right Side,R,24+ ft.,228,-10,26,22,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Missed Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,173,2,7,Mid-Range,Center,C,8-16 ft.,20,154,20,15,TRUE,FALSE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,184,2,6,Mid-Range,Left Side,L,16-24 ft.,-163,100,22,19,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,187,2,5,In The Paint (Non-RA),Center,C,8-16 ft.,-48,110,58,12,TRUE,TRUE
2016,2015-16,1610612746,202325,Shot Chart Detail,Wesley Johnson,LA Clippers,Made Shot,Pullup Jump shot,3PT Field Goal,20151225,LAL,LAC,21500440,195,2,5,Above the Break 3,Right Side Center,RC,24+ ft.,145,198,26,24,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Turnaround Bank shot,2PT Field Goal,20151225,LAL,LAC,21500440,204,2,4,Mid-Range,Left Side,L,8-16 ft.,-83,57,51,10,TRUE,FALSE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,207,2,4,Mid-Range,Left Side Center,LC,16-24 ft.,-151,141,29,20,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Hook Shot,2PT Field Goal,20151225,LAL,LAC,21500440,216,2,4,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-60,18,3,6,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,218,2,4,Restricted Area,Center,C,Less Than 8 ft.,14,2,1,1,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,222,2,3,Mid-Range,Right Side,R,8-16 ft.,89,124,37,15,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,225,2,3,In The Paint (Non-RA),Center,C,Less Than 8 ft.,42,18,9,4,TRUE,FALSE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,20151225,LAL,LAC,21500440,229,2,2,Restricted Area,Center,C,Less Than 8 ft.,0,1,41,0,TRUE,FALSE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Running Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,231,2,2,Mid-Range,Right Side,R,8-16 ft.,119,11,38,11,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Turnaround Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,238,2,2,In The Paint (Non-RA),Left Side,L,8-16 ft.,-65,85,10,10,TRUE,FALSE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Made Shot,Putback Dunk Shot,2PT Field Goal,20151225,LAL,LAC,21500440,240,2,2,Restricted Area,Center,C,Less Than 8 ft.,0,1,8,0,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Driving Floating Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,263,2,0,In The Paint (Non-RA),Center,C,Less Than 8 ft.,55,18,50,5,TRUE,TRUE
2016,2015-16,1610612746,201601,Shot Chart Detail,Luc Mbah a Moute,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,270,2,0,Right Corner 3,Right Side,R,24+ ft.,222,11,3,22,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Reverse Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,276,3,11,Restricted Area,Center,C,Less Than 8 ft.,10,-6,48,1,TRUE,TRUE
2016,2015-16,1610612746,201601,Shot Chart Detail,Luc Mbah a Moute,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,282,3,10,Right Corner 3,Right Side,R,24+ ft.,223,-15,40,22,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Step Back Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,285,3,10,Mid-Range,Right Side,R,16-24 ft.,146,85,8,16,TRUE,FALSE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,289,3,9,Mid-Range,Right Side,R,8-16 ft.,138,23,47,13,TRUE,FALSE
2016,2015-16,1610612746,201601,Shot Chart Detail,Luc Mbah a Moute,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,293,3,9,Left Corner 3,Left Side,L,24+ ft.,-243,2,11,24,TRUE,TRUE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,20151225,LAL,LAC,21500440,296,3,8,Restricted Area,Center,C,Less Than 8 ft.,0,1,44,0,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,305,3,7,Above the Break 3,Right Side Center,RC,24+ ft.,169,203,51,26,TRUE,FALSE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Missed Shot,Floating Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,308,3,7,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1,47,7,4,TRUE,FALSE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Step Back Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,312,3,6,Mid-Range,Right Side,R,8-16 ft.,127,31,39,13,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,314,3,6,Mid-Range,Right Side Center,RC,16-24 ft.,89,156,7,17,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,322,3,4,Above the Break 3,Right Side Center,RC,24+ ft.,204,144,38,24,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,327,3,3,Above the Break 3,Center,C,24+ ft.,-35,252,56,25,TRUE,FALSE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,336,3,3,Above the Break 3,Right Side Center,RC,24+ ft.,220,97,22,24,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Turnaround Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,339,3,2,In The Paint (Non-RA),Center,C,8-16 ft.,-68,120,48,13,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,342,3,2,Above the Break 3,Right Side Center,RC,24+ ft.,146,200,27,24,TRUE,FALSE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,20151225,LAL,LAC,21500440,348,3,1,Restricted Area,Center,C,Less Than 8 ft.,0,1,55,0,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,20151225,LAL,LAC,21500440,356,3,1,Mid-Range,Left Side,L,8-16 ft.,-110,46,34,11,TRUE,FALSE
2016,2015-16,1610612746,202362,Shot Chart Detail,Lance Stephenson,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,358,3,1,Right Corner 3,Right Side,R,24+ ft.,228,80,21,24,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,365,3,0,Mid-Range,Right Side,R,16-24 ft.,166,105,47,19,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,367,3,0,Above the Break 3,Center,C,24+ ft.,27,252,44,25,TRUE,TRUE
2016,2015-16,1610612746,1718,Shot Chart Detail,Paul Pierce,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,372,3,0,Above the Break 3,Right Side Center,RC,24+ ft.,117,228,12,25,TRUE,FALSE
2016,2015-16,1610612746,202362,Shot Chart Detail,Lance Stephenson,LA Clippers,Missed Shot,Driving Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,387,4,10,Restricted Area,Center,C,Less Than 8 ft.,0,-1,56,0,TRUE,FALSE
2016,2015-16,1610612746,1718,Shot Chart Detail,Paul Pierce,LA Clippers,Missed Shot,Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,395,4,10,Restricted Area,Center,C,Less Than 8 ft.,-12,9,31,1,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Missed Shot,Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,405,4,9,Restricted Area,Center,C,Less Than 8 ft.,27,7,41,2,TRUE,FALSE
2016,2015-16,1610612746,1718,Shot Chart Detail,Paul Pierce,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,407,4,9,Mid-Range,Right Side,R,16-24 ft.,166,-10,34,16,TRUE,TRUE
2016,2015-16,1610612746,202362,Shot Chart Detail,Lance Stephenson,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,415,4,8,Mid-Range,Right Side,R,8-16 ft.,156,11,5,15,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,420,4,7,Mid-Range,Right Side Center,RC,16-24 ft.,109,129,35,16,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Missed Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,431,4,7,Mid-Range,Center,C,16-24 ft.,24,190,0,19,TRUE,FALSE
2016,2015-16,1610612746,202325,Shot Chart Detail,Wesley Johnson,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,434,4,6,Mid-Range,Left Side,L,16-24 ft.,-197,75,16,21,TRUE,TRUE
2016,2015-16,1610612746,202325,Shot Chart Detail,Wesley Johnson,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,437,4,5,Left Corner 3,Left Side,L,24+ ft.,-241,16,49,24,TRUE,FALSE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Floating Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,440,4,5,In The Paint (Non-RA),Center,C,Less Than 8 ft.,56,38,17,6,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,445,4,4,Mid-Range,Left Side Center,LC,16-24 ft.,-106,165,33,19,TRUE,FALSE
2016,2015-16,1610612746,202325,Shot Chart Detail,Wesley Johnson,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,458,4,3,Left Corner 3,Left Side,L,24+ ft.,-246,7,35,24,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,469,4,2,Restricted Area,Center,C,Less Than 8 ft.,-24,-1,25,2,TRUE,FALSE
